MatchId,Year,TournamentRound,PieRound,Pie,Votes,Opponent,OpponentVotes,Result
tsUX5TdbgPZw,1,1,1,Egg Custard,1,Cranberry Streusel ,2,Loss
,2,1,0,Egg Custard,0,,,Bye
yFFNOuvUdo912,2,2,1,Egg Custard,1,Sweet Potato,3,Loss
50ViyrNw4nwDB,2,1,1,Tiramisu,3,Red Velvet Cream ,1,Win
7MrxhVjnaTli0t,2,2,2,Tiramisu,3,Chocolate Cloud,1,Win
0GlwDx8FUN8Scs,2,3,3,Tiramisu,2,Buckeye,2,TieLoss
,1,1,0,Tiramisu,0,,,Bye
1hgBtvFrRhI7,1,2,1,Tiramisu,2,Strawberry Shortcake ,1,Win
bHrzQx5tuhDtU,1,3,2,Tiramisu,1,Tres Leches,2,Loss
,1,1,0,Chocolate Chess,0,,,Bye
385KMzO1O-Mu,1,2,1,Chocolate Chess,1,Blueberry Crisp,2,Loss
,2,1,0,Chocolate Chess,0,,,Bye
fy_uWbon6HMfu,2,2,1,Chocolate Chess,1,Samoa,3,Loss
,1,1,0,Red Velvet Cream ,0,,,Bye
E_hLpwcAnjaA,1,2,1,Red Velvet Cream ,1,Sweet Potato,2,Loss
50ViyrNw4nwDB,2,1,1,Red Velvet Cream ,1,Tiramisu,3,Loss
GovZKrBKoSzj,1,1,1,Oreo,1,Peach (Seasonal - Summer) ,2,Loss
pbV_eGNHQRVV3,2,1,1,Oreo,2,Tres Leches,2,TieWin
shFEmuZpUiEP_,2,2,2,Oreo,1,Cherry (Crumb or Crust),3,Loss
1N3k3USdZb5n,1,1,1,Chocolate Cloud,2,Chocolate Covered Strawberry ,1,Win
W3tdF8QPkKayQ,1,2,2,Chocolate Cloud,0,Irish Cream Brownie,3,Loss
,2,1,0,Chocolate Cloud,0,,,Bye
7MrxhVjnaTli0t,2,2,1,Chocolate Cloud,1,Tiramisu,3,Loss
oFJN2zp-w2Bi,1,1,1,Whiskey Silk,3,Unicorn,0,Win
mPWJLgq3IHfa,1,2,2,Whiskey Silk,3,Coconut Cream,0,Win
YK6MfVOPgQYYX,1,3,3,Whiskey Silk,2,Astronaut,1,Win
TSg5rT5MuDQ_w,1,4,4,Whiskey Silk,3,Dark Chocolate Cream,0,Win
QDb0FiX1KdgWs,1,5,5,Whiskey Silk,1,Boozy Blackberry Orange Cream ,2,Loss
,2,1,0,Whiskey Silk,0,,,Bye
